ID,MODEL,PRICE,KM,MFG YEAR,FUEL TYPE,VEHICLE COLOR,VEHICLE TYPE,RATING,RATE COUNT
55,CITY ZX MT DIESEL,1625000,26000,2020,DIESEL,GOLDEN BROWN METALLIC,MANUAL,4,54
56,AMAZE E PETROL,425000,65000,2016,PETROL,SILVER,MANUAL,1,69
57,AMAZE E PETROL,535000,42000,2019,PETROL,ORCHID WHITE PEARL ,MANUAL,2,64
58,AMAZE E PETROL,475000,61000,2017,PETROL,MODERN STEEL METALLIC,MANUAL,4,67
59,AMAZE E PETROL,375000,71000,2015,PETROL,GOLDEN BROWN METALLIC,MANUAL,2,54
60,AMAZE E PETROL,515000,45000,2018,PETROL,RADIANT RED,MANUAL,5,69
61,AMAZE E PETROL,620000,22000,2020,PETROL,LUNAR SILVER,MANUAL,3,84
62,AMAZE S PETROL,475000,65000,2016,PETROL,SILVER,MANUAL,2,85
63,AMAZE S PETROL,675000,49000,2019,PETROL,ORCHID WHITE PEARL ,MANUAL,4,72
64,AMAZE S PETROL,425000,70000,2015,PETROL,MODERN STEEL METALLIC,MANUAL,3,94
65,AMAZE S PETROL,710000,35000,2020,PETROL,GOLDEN BROWN METALLIC,MANUAL,2,63
66,AMAZE S PETROL,625000,62000,2017,PETROL,RADIANT RED,MANUAL,5,57
67,AMAZE S PETROL,650000,55000,2018,PETROL,LUNAR SILVER,MANUAL,3,54
68,AMAZE SPECIAL EDITION,485000,64000,2016,PETROL,SILVER,MANUAL,2,69
69,AMAZE SPECIAL EDITION,665000,52000,2018,PETROL,ORCHID WHITE PEARL ,MANUAL,4,84
70,AMAZE SPECIAL EDITION,445000,72000,2015,PETROL,MODERN STEEL METALLIC,MANUAL,3,85
71,AMAZE SPECIAL EDITION,710000,48000,2019,PETROL,GOLDEN BROWN METALLIC,MANUAL,2,72
72,AMAZE SPECIAL EDITION,745000,35000,2020,PETROL,RADIANT RED,MANUAL,5,94
73,AMAZE SPECIAL EDITION,645000,62000,2017,PETROL,LUNAR SILVER,MANUAL,4,63
74,AMAZE V PETROL,465000,75000,2015,PETROL,SILVER,MANUAL,2,57
75,AMAZE V PETROL,665000,68000,2017,PETROL,ORCHID WHITE PEARL ,MANUAL,5,67
76,AMAZE V PETROL,510000,72000,2016,PETROL,MODERN STEEL METALLIC,MANUAL,2,87
77,AMAZE V PETROL,735000,49000,2019,PETROL,GOLDEN BROWN METALLIC,MANUAL,1,85
78,AMAZE V PETROL,775000,32000,2020,PETROL,RADIANT RED,MANUAL,3,59
79,AMAZE V PETROL,685000,55000,2018,PETROL,LUNAR SILVER,MANUAL,5,77
80,AMAZE E DIESEL,475000,74000,2015,DIESEL,SILVER,MANUAL,4,64
81,AMAZE E DIESEL,710000,56000,2018,DIESEL,ORCHID WHITE PEARL ,MANUAL,3,54
82,AMAZE E DIESEL,745000,50000,2019,DIESEL,MODERN STEEL METALLIC,MANUAL,5,85
83,AMAZE E DIESEL,675000,67000,2017,DIESEL,GOLDEN BROWN METALLIC,MANUAL,3,64
84,AMAZE E DIESEL,800000,31000,2020,DIESEL,RADIANT RED,MANUAL,4,79
85,AMAZE E DIESEL,525000,73000,2016,DIESEL,LUNAR SILVER,MANUAL,2,82
86,AMAZE S CVT PETROL,700000,68000,2017,PETROL,SILVER,AMT,5,76
87,AMAZE S CVT PETROL,525000,75000,2015,PETROL,ORCHID WHITE PEARL ,AMT,5,83
88,AMAZE S CVT PETROL,615000,72000,2016,PETROL,MODERN STEEL METALLIC,AMT,5,81
89,AMAZE S CVT PETROL,720000,57000,2018,PETROL,GOLDEN BROWN METALLIC,AMT,4,91
90,AMAZE S CVT PETROL,845000,33000,2020,PETROL,RADIANT RED,AMT,3,54
91,AMAZE S CVT PETROL,775000,49000,2019,PETROL,LUNAR SILVER,AMT,2,84
92,AMAZE SPECIAL EDITION CVT,635000,65000,2016,PETROL,SILVER,AMT,5,59
93,AMAZE SPECIAL EDITION CVT,725000,63000,2017,PETROL,ORCHID WHITE PEARL ,AMT,4,64
94,AMAZE SPECIAL EDITION CVT,545000,71000,2015,PETROL,MODERN STEEL METALLIC,AMT,2,71
95,AMAZE SPECIAL EDITION CVT,865000,21000,2020,PETROL,GOLDEN BROWN METALLIC,AMT,3,54
96,AMAZE SPECIAL EDITION CVT,740000,54000,2018,PETROL,RADIANT RED,AMT,5,69
97,AMAZE SPECIAL EDITION CVT,825000,48000,2019,PETROL,LUNAR SILVER,AMT,4,64
98,AMAZE EXCLUSIVE EDITION PETROL,845000,58000,2019,PETROL,SILVER,MANUAL,3,67
99,AMAZE EXCLUSIVE EDITION PETROL,735000,69000,2017,PETROL,ORCHID WHITE PEARL ,MANUAL,5,54
100,AMAZE EXCLUSIVE EDITION PETROL,875000,35000,2020,PETROL,MODERN STEEL METALLIC,MANUAL,3,77
101,AMAZE EXCLUSIVE EDITION PETROL,755000,69000,2018,PETROL,GOLDEN BROWN METALLIC,MANUAL,4,52
102,AMAZE EXCLUSIVE EDITION PETROL,645000,78000,2016,PETROL,RADIANT RED,MANUAL,2,91
103,AMAZE EXCLUSIVE EDITION PETROL,585000,82000,2015,PETROL,LUNAR SILVER,MANUAL,5,64
104,AMAZE VX PETROL,855000,33000,2020,PETROL,SILVER,MANUAL,3,62
105,AMAZE VX PETROL,845000,51000,2019,PETROL,ORCHID WHITE PEARL ,MANUAL,4,51
106,AMAZE VX PETROL,523000,81000,2015,PETROL,MODERN STEEL METALLIC,MANUAL,3,59
107,AMAZE VX PETROL,576000,72000,2016,PETROL,GOLDEN BROWN METALLIC,MANUAL,5,86
108,AMAZE VX PETROL,645000,61000,2017,PETROL,RADIANT RED,MANUAL,2,72
109,AMAZE VX PETROL,725000,57000,2018,PETROL,LUNAR SILVER,MANUAL,4,58
110,AMAZE S DIESEL,815000,50000,2018,DIESEL,SILVER,MANUAL,5,90
111,AMAZE S DIESEL,765000,63000,2017,DIESEL,ORCHID WHITE PEARL ,MANUAL,2,74
112,AMAZE S DIESEL,885000,35000,2020,DIESEL,MODERN STEEL METALLIC,MANUAL,4,55
113,AMAZE S DIESEL,845000,47000,2019,DIESEL,GOLDEN BROWN METALLIC,MANUAL,5,64
114,AMAZE S DIESEL,645000,68000,2016,DIESEL,RADIANT RED,MANUAL,2,52
115,AMAZE S DIESEL,548000,69000,2015,DIESEL,LUNAR SILVER,MANUAL,4,68
116,AMAZE  SPECIAL EDITION DIESEL,915000,31000,2020,DIESEL,SILVER,MANUAL,5,45
117,AMAZE  SPECIAL EDITION DIESEL,785000,52000,2018,DIESEL,ORCHID WHITE PEARL ,MANUAL,3,71
118,AMAZE  SPECIAL EDITION DIESEL,615000,67000,2016,DIESEL,MODERN STEEL METALLIC,MANUAL,5,54
119,AMAZE  SPECIAL EDITION DIESEL,655000,65000,2017,DIESEL,GOLDEN BROWN METALLIC,MANUAL,3,69
120,AMAZE  SPECIAL EDITION DIESEL,875000,44000,2019,DIESEL,RADIANT RED,MANUAL,4,64
121,AMAZE  SPECIAL EDITION DIESEL,594000,72000,2015,DIESEL,LUNAR SILVER,MANUAL,5,67
122,AMAZE V CVT PETROL,790000,47000,2018,PETROL,SILVER,AMT,1,54
123,AMAZE V CVT PETROL,925000,25000,2020,PETROL,ORCHID WHITE PEARL ,AMT,5,77
124,AMAZE V CVT PETROL,880000,43000,2019,PETROL,MODERN STEEL METALLIC,AMT,2,52
125,AMAZE V CVT PETROL,685000,52000,2017,PETROL,GOLDEN BROWN METALLIC,AMT,3,91
126,AMAZE V CVT PETROL,625000,59000,2016,PETROL,RADIANT RED,AMT,4,64
127,AMAZE V CVT PETROL,545000,61000,2015,PETROL,LUNAR SILVER,AMT,5,62
128,AMAZE V DIESEL,915000,35000,2020,DIESEL,SILVER,MANUAL,5,51
129,AMAZE V DIESEL,875000,49000,2019,DIESEL,ORCHID WHITE PEARL ,MANUAL,4,59
130,AMAZE V DIESEL,675000,64000,2016,DIESEL,MODERN STEEL METALLIC,MANUAL,3,86
131,AMAZE V DIESEL,625000,68000,2015,DIESEL,GOLDEN BROWN METALLIC,MANUAL,2,72
132,AMAZE V DIESEL,745000,50000,2017,DIESEL,RADIANT RED,MANUAL,5,58
133,AMAZE V DIESEL,845000,49000,2018,DIESEL,LUNAR SILVER,MANUAL,4,90
134,AMAZE EXCLUSIVE EDITION CVT PETROL,955000,27000,2020,PETROL,SILVER,AMT,2,74
135,AMAZE EXCLUSIVE EDITION CVT PETROL,775000,61000,2017,PETROL,ORCHID WHITE PEARL ,AMT,3,55
136,AMAZE EXCLUSIVE EDITION CVT PETROL,715000,68000,2016,PETROL,MODERN STEEL METALLIC,AMT,5,64
137,AMAZE EXCLUSIVE EDITION CVT PETROL,935000,41000,2019,PETROL,GOLDEN BROWN METALLIC,AMT,4,52
138,AMAZE EXCLUSIVE EDITION CVT PETROL,875000,53000,2018,PETROL,RADIANT RED,AMT,3,68
139,AMAZE EXCLUSIVE EDITION CVT PETROL,675000,73000,2015,PETROL,LUNAR SILVER,AMT,5,52
140,AMAZE VX CVT PETROL,785000,60000,2017,PETROL,SILVER,AMT,3,91
141,AMAZE VX CVT PETROL,725000,61000,2016,PETROL,ORCHID WHITE PEARL ,AMT,4,64
142,AMAZE VX CVT PETROL,975000,34000,2020,PETROL,MODERN STEEL METALLIC,AMT,2,62
143,AMAZE VX CVT PETROL,685000,68000,2015,PETROL,GOLDEN BROWN METALLIC,AMT,5,51
144,AMAZE VX CVT PETROL,925000,58000,2018,PETROL,RADIANT RED,AMT,3,59
145,AMAZE VX CVT PETROL,955000,47000,2019,PETROL,LUNAR SILVER,AMT,4,86
146,AMAZE S CVT DIESEL,790000,52000,2017,DIESEL,SILVER,AMT,3,72
147,AMAZE S CVT DIESEL,985000,32000,2020,DIESEL,ORCHID WHITE PEARL ,AMT,5,58
148,AMAZE S CVT DIESEL,690000,71000,2015,DIESEL,MODERN STEEL METALLIC,AMT,2,90
149,AMAZE S CVT DIESEL,935000,49000,2018,DIESEL,GOLDEN BROWN METALLIC,AMT,4,74
150,AMAZE S CVT DIESEL,745000,65000,2016,DIESEL,RADIANT RED,AMT,5,55
151,AMAZE S CVT DIESEL,965000,43000,2019,DIESEL,LUNAR SILVER,AMT,2,64
152,AMAZE SPECIAL EDITION CVT DIESEL,1030000,23000,2020,DIESEL,SILVER,AMT,4,52
153,AMAZE SPECIAL EDITION CVT DIESEL,945000,45000,2019,DIESEL,ORCHID WHITE PEARL ,AMT,5,68
154,AMAZE SPECIAL EDITION CVT DIESEL,845000,62000,2017,DIESEL,MODERN STEEL METALLIC,AMT,2,45
155,AMAZE SPECIAL EDITION CVT DIESEL,755000,65000,2016,DIESEL,GOLDEN BROWN METALLIC,AMT,4,71
156,AMAZE SPECIAL EDITION CVT DIESEL,715000,69000,2015,DIESEL,RADIANT RED,AMT,5,54
157,AMAZE SPECIAL EDITION CVT DIESEL,915000,53000,2018,DIESEL,LUNAR SILVER,AMT,3,69
158,AMAZE EXCLUSIVE EDITION DIESEL,1050000,37000,2020,DIESEL,SILVER,MANUAL,5,64
159,AMAZE EXCLUSIVE EDITION DIESEL,955000,45000,2019,DIESEL,ORCHID WHITE PEARL ,MANUAL,3,67
160,AMAZE EXCLUSIVE EDITION DIESEL,845000,65000,2017,DIESEL,MODERN STEEL METALLIC,MANUAL,4,54
161,AMAZE EXCLUSIVE EDITION DIESEL,1056000,32000,2020,DIESEL,GOLDEN BROWN METALLIC,MANUAL,5,77
162,AMAZE EXCLUSIVE EDITION DIESEL,775000,71000,2016,DIESEL,RADIANT RED,MANUAL,1,52
163,AMAZE EXCLUSIVE EDITION DIESEL,925000,53000,2018,DIESEL,LUNAR SILVER,MANUAL,5,91
164,AMAZE VX DIESEL,985000,35000,2020,DIESEL,SILVER,MANUAL,2,64
165,AMAZE VX DIESEL,835000,60000,2017,DIESEL,ORCHID WHITE PEARL ,MANUAL,3,62
166,AMAZE VX DIESEL,715000,69000,2015,DIESEL,MODERN STEEL METALLIC,MANUAL,4,51
167,AMAZE VX DIESEL,745000,64000,2016,DIESEL,GOLDEN BROWN METALLIC,MANUAL,5,59
168,AMAZE VX DIESEL,935000,49000,2019,DIESEL,RADIANT RED,MANUAL,2,58
169,AMAZE VX DIESEL,910000,55000,2018,DIESEL,LUNAR SILVER,MANUAL,4,90
170,AMAZE V CVT DIESEL,765000,59000,2016,DIESEL,SILVER,AMT,5,74
171,AMAZE V CVT DIESEL,720000,64000,2015,DIESEL,ORCHID WHITE PEARL ,AMT,3,55
172,AMAZE V CVT DIESEL,835000,54000,2017,DIESEL,MODERN STEEL METALLIC,AMT,5,64
173,AMAZE V CVT DIESEL,1035000,32000,2020,DIESEL,GOLDEN BROWN METALLIC,AMT,3,52
174,AMAZE V CVT DIESEL,945000,47000,2019,DIESEL,RADIANT RED,AMT,4,68
175,AMAZE V CVT DIESEL,920000,52000,2018,DIESEL,LUNAR SILVER,AMT,5,52
176,AMAZE V CVT DIESEL,1045000,25000,2020,DIESEL,SILVER,AMT,1,91
177,AMAZE EXCLUSIVE EDITION CVT DIESEL,725000,67000,2016,DIESEL,ORCHID WHITE PEARL ,AMT,5,64
178,AMAZE EXCLUSIVE EDITION CVT DIESEL,1085000,31000,2020,DIESEL,MODERN STEEL METALLIC,AMT,2,62
179,AMAZE EXCLUSIVE EDITION CVT DIESEL,775000,65000,2017,DIESEL,GOLDEN BROWN METALLIC,AMT,3,51
180,AMAZE EXCLUSIVE EDITION CVT DIESEL,1050000,45000,2019,DIESEL,RADIANT RED,AMT,4,59
181,AMAZE EXCLUSIVE EDITION CVT DIESEL,945000,57000,2018,DIESEL,LUNAR SILVER,AMT,5,86
182,AMAZE VX CVT DIESEL,775000,58000,2016,DIESEL,SILVER,AMT,5,72
183,AMAZE VX CVT DIESEL,725000,74000,2015,DIESEL,ORCHID WHITE PEARL ,AMT,4,58
184,AMAZE VX CVT DIESEL,845000,67000,2017,DIESEL,MODERN STEEL METALLIC,AMT,3,90
185,AMAZE VX CVT DIESEL,925000,24000,2019,DIESEL,GOLDEN BROWN METALLIC,AMT,2,74
186,AMAZE VX CVT DIESEL,1045000,41000,2020,DIESEL,RADIANT RED,AMT,5,55
187,AMAZE VX CVT DIESEL,875000,52000,2018,DIESEL,LUNAR SILVER,AMT,4,64
188,CIVIC V,2125000,31000,2020,PETROL,PLATINUM WHITE PEARL,AMT,2,52
189,CIVIC V,1775000,62000,2017,PETROL,MODERN STEEL METALLIC,AMT,3,68
190,CIVIC V,2015000,51000,2019,PETROL,GOLDEN BROWN METALLIC,AMT,5,45
191,CIVIC V,1845000,49000,2018,PETROL,RADIANT RED METALLIC,AMT,4,71
192,CIVIC V,1725000,65000,2016,PETROL,LUNAR SILVER,AMT,3,54
193,CIVIC VX ,2285000,33000,2020,PETROL,PLATINUM WHITE PEARL,AMT,5,69
194,CIVIC VX ,2025000,68000,2017,PETROL,MODERN STEEL METALLIC,AMT,3,64
195,CIVIC VX ,1975000,73000,2016,PETROL,GOLDEN BROWN METALLIC,AMT,4,67
196,CIVIC VX ,2145000,52000,2018,PETROL,RADIANT RED METALLIC,AMT,3,90
197,CIVIC VX ,2215000,48000,2019,PETROL,LUNAR SILVER,AMT,5,74
198, CIVIC VX DIESEL,2115000,75000,2015,DIESEL,PLATINUM WHITE PEARL,MANUAL,2,55
199,CIVIC VX DIESEL,2375000,65000,2016,DIESEL,MODERN STEEL METALLIC,MANUAL,4,64
200,CIVIC VX DIESEL,2455000,51000,2018,DIESEL,GOLDEN BROWN METALLIC,MANUAL,5,52
201,CIVIC VX DIESEL,2415000,61000,2017,DIESEL,RADIANT RED METALLIC,MANUAL,2,68
202,CIVIC VX DIESEL,2575000,21000,2020,DIESEL,LUNAR SILVER,MANUAL,4,45
203,CIVIC ZX,2545000,46000,2019,PETROL,PLATINUM WHITE PEARL,AMT,5,71
204,CIVIC ZX,2585000,34000,2020,PETROL,MODERN STEEL METALLIC,AMT,2,54
205,CIVIC ZX,2425000,47000,2017,PETROL,GOLDEN BROWN METALLIC,AMT,4,69
206,CIVIC ZX,2545000,38000,2019,PETROL,RADIANT RED METALLIC,AMT,5,64
207,CIVIC ZX,2475000,41000,2018,PETROL,LUNAR SILVER,AMT,3,67
208,CIVIC ZX DIESEL,2723000,35000,2020,DIESEL,PLATINUM WHITE PEARL,MANUAL,5,54
209,CIVIC ZX DIESEL,2575000,58000,2018,DIESEL,MODERN STEEL METALLIC,MANUAL,3,77
210,CIVIC ZX DIESEL,2545000,61000,2017,DIESEL,GOLDEN BROWN METALLIC,MANUAL,4,52
211,CIVIC ZX DIESEL,2415000,65000,2016,DIESEL,RADIANT RED METALLIC,MANUAL,5,91
212,CIVIC ZX DIESEL,2675000,42000,2019,DIESEL,LUNAR SILVER,MANUAL,1,64
213,WR-V SV,575000,76000,2016,PETROL,REDIANT RED METALLIC,MANUAL,5,62
214,WR-V SV,845000,57000,2019,PETROL,WHITE ORCHID PEARL,MANUAL,2,51
215,WR-V SV,615000,68000,2017,PETROL,MODERN STEEL METALLIC,MANUAL,3,59
216,WR-V SV,725000,56000,2018,PETROL,GOLDEN BROWN METALLIC,MANUAL,4,58
217,WR-V SV,875000,38000,2020,PETROL,PREMIUM AMBER,MANUAL,5,90
218,WR-V SV,855000,45000,2019,PETROL,LUNAR SILVER,MANUAL,2,74
219,WR-V EXCLUSIVE EDITION PETROL,775000,71000,2016,PETROL,REDIANT RED METALLIC,MANUAL,4,55
220,WR-V EXCLUSIVE EDITION PETROL,845000,64000,2018,PETROL,WHITE ORCHID PEARL,MANUAL,5,64
221,WR-V EXCLUSIVE EDITION PETROL,825000,61000,2017,PETROL,MODERN STEEL METALLIC,MANUAL,3,52
222,WR-V EXCLUSIVE EDITION PETROL,925000,58000,2019,PETROL,GOLDEN BROWN METALLIC,MANUAL,5,68
223,WR-V EXCLUSIVE EDITION PETROL,1015000,39000,2020,PETROL,PREMIUM AMBER,MANUAL,3,52
224,WR-V EXCLUSIVE EDITION PETROL,815000,69000,2017,PETROL,LUNAR SILVER,MANUAL,4,91
225,WR-V VX,920000,65000,2018,PETROL,REDIANT RED METALLIC,MANUAL,5,64
226,WR-V VX,1052000,45000,2020,PETROL,WHITE ORCHID PEARL,MANUAL,1,62
227,WR-V VX,935000,49000,2019,PETROL,MODERN STEEL METALLIC,MANUAL,5,51
228,WR-V VX,745000,74000,2016,PETROL,GOLDEN BROWN METALLIC,MANUAL,2,59
229,WR-V VX,785000,55000,2017,PETROL,PREMIUM AMBER,MANUAL,3,86
230,WR-V VX,925000,60000,2018,PETROL,LUNAR SILVER,MANUAL,4,72
231,WR-V SV DIESEL,1065000,44000,2020,DIESEL,REDIANT RED METALLIC,MANUAL,5,58
232,WR-V SV DIESEL,945000,52000,2019,DIESEL,WHITE ORCHID PEARL,MANUAL,5,90
233,WR-V SV DIESEL,790000,65000,2017,DIESEL,MODERN STEEL METALLIC,MANUAL,4,74
234,WR-V SV DIESEL,750000,68000,2016,DIESEL,GOLDEN BROWN METALLIC,MANUAL,3,55
235,WR-V SV DIESEL,835000,51000,2018,DIESEL,PREMIUM AMBER,MANUAL,4,47
236,WR-V SV DIESEL,725000,74000,2015,DIESEL,LUNAR SILVER,MANUAL,3,65
237,WR-V EXCLUSIVE EDITION DIESEL,1250000,38000,2020,DIESEL,REDIANT RED METALLIC,MANUAL,5,42
238,WR-V EXCLUSIVE EDITION DIESEL,945000,71000,2016,DIESEL,WHITE ORCHID PEARL,MANUAL,2,86
239,WR-V EXCLUSIVE EDITION DIESEL,1125000,54000,2018,DIESEL,MODERN STEEL METALLIC,MANUAL,4,94
240,WR-V EXCLUSIVE EDITION DIESEL,1015000,65000,2017,DIESEL,GOLDEN BROWN METALLIC,MANUAL,5,75
241,WR-V EXCLUSIVE EDITION DIESEL,1275000,46000,2019,DIESEL,PREMIUM AMBER,MANUAL,2,66
242,WR-V EXCLUSIVE EDITION DIESEL,915000,78000,2015,DIESEL,LUNAR SILVER,MANUAL,4,53
243,WR-V VX DIESEL,1175000,25000,2020,DIESEL,REDIANT RED METALLIC,MANUAL,5,64
244,WR-V VX DIESEL,815000,73000,2015,DIESEL,WHITE ORCHID PEARL,MANUAL,2,58
245,WR-V VX DIESEL,945000,64000,2017,DIESEL,MODERN STEEL METALLIC,MANUAL,4,64
246,WR-V VX DIESEL,925000,69000,2016,DIESEL,GOLDEN BROWN METALLIC,MANUAL,5,57
247,WR-V VX DIESEL,1015000,54000,2018,DIESEL,PREMIUM AMBER,MANUAL,3,59
248,WR-V VX DIESEL,1125000,47000,2019,DIESEL,LUNAR SILVER,MANUAL,5,46
249,JAZZ V,845000,38000,2020,PETROL,REDIANT RED METALLIC,MANUAL,3,58
250,JAZZ V,575000,67000,2017,PETROL,WHITE ORCHID PEARL,MANUAL,4,76
251,JAZZ V,755000,58000,2019,PETROL,LUNAR SILVER METALLIC,MANUAL,5,94
252,JAZZ V,635000,65000,2018,PETROL,MODERN STEEL METALLIC,MANUAL,1,53
253,JAZZ V,515000,69000,2016,PETROL,GOLDEN BROWN METALLIC,MANUAL,5,64
254,JAZZ VX,655000,56000,2018,PETROL,REDIANT RED METALLIC,MANUAL,2,51
255,JAZZ VX,545000,68000,2016,PETROL,WHITE ORCHID PEARL,MANUAL,3,64
256,JAZZ VX,615000,64000,2017,PETROL,LUNAR SILVER METALLIC,MANUAL,4,53
257,JAZZ VX,855000,37000,2020,PETROL,MODERN STEEL METALLIC,MANUAL,5,42
258,JAZZ VX,765000,47000,2019,PETROL,GOLDEN BROWN METALLIC,MANUAL,2,86
259,JAZZ V CVT,715000,74000,2016,PETROL,REDIANT RED METALLIC,AMT,4,42
260,JAZZ V CVT,845000,61000,2018,PETROL,WHITE ORCHID PEARL,AMT,5,59
261,JAZZ V CVT,950000,31000,2020,PETROL,LUNAR SILVER METALLIC,AMT,3,43
262,JAZZ V CVT,925000,57000,2019,PETROL,MODERN STEEL METALLIC,AMT,5,56
263,JAZZ V CVT,755000,59000,2017,PETROL,GOLDEN BROWN METALLIC,AMT,3,58
