CITY 4TH GENERATION SV MT  |  RS. 915000  |  65000  KM  ,PRICE,KM,MFG YEAR,VEHICLE COLOR,FUEL TYPE,VEHICLE TYPE
CITY VX CVT  |  RS. 1248000  |  61000  KM  ,1378000,64000,2019,MODERN STEEL METALLIC,PETROL,AMT
CITY VX MT DIESEL  |  RS. 1318000  |  70000  KM  ,1248000,61000,2017,GOLDEN BROWN METALLIC,PETROL,AMT
CITY VX MT DIESEL  |  RS. 1413000  |  59000  KM  ,1318000,70000,2017,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY VX MT DIESEL  |  RS. 1278000  |  72000  KM  ,1413000,59000,2018,REDIANT RED METALLIC,DIESEL,MANUAL
CITY VX MT DIESEL  |  RS. 1558000  |  24000  KM  ,1278000,72000,2016,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY VX MT DIESEL  |  RS. 1428000  |  55000  KM  ,1558000,24000,2020,MODERN STEEL METALLIC,DIESEL,MANUAL
CITY ZX CVT  |  RS. 1598000  |  26000  KM  ,1428000,55000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CITY ZX CVT  |  RS. 1288000  |  74000  KM  ,1598000,26000,2020,PLATINUM WHITE PEARL,PETROL,AMT
CITY ZX CVT  |  RS. 1363000  |  59000  KM  ,1288000,74000,2016,REDIANT RED METALLIC,PETROL,AMT
CITY ZX CVT  |  RS. 1468000  |  67000  KM  ,1363000,59000,2018,LUNAR SILVER METALLIC,PETROL,AMT
CITY ZX CVT  |  RS. 1489000  |  56000  KM  ,1468000,67000,2017,MODERN STEEL METALLIC,PETROL,AMT
CITY ZX MT DIESEL  |  RS. 1578000  |  52000  KM  ,1489000,56000,2019,GOLDEN BROWN METALLIC,PETROL,AMT
CITY ZX MT DIESEL  |  RS. 1628000  |  29000  KM  ,1578000,52000,2019,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY ZX MT DIESEL  |  RS. 1328000  |  78000  KM  ,1628000,29000,2020,REDIANT RED METALLIC,DIESEL,MANUAL
CITY ZX MT DIESEL  |  RS. 1378000  |  71000  KM  ,1328000,78000,2016,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY ZX MT DIESEL  |  RS. 1428000  |  65000  KM  ,1378000,71000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE E PETROL  |  RS. 539000  |  45000  KM  ,1428000,65000,2017,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE E PETROL  |  RS. 428000  |  68000  KM  ,539000,45000,2019,SILVER,PETROL,MANUAL
AMAZE E PETROL  |  RS. 378000  |  74000  KM  ,428000,68000,2016,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE E PETROL  |  RS. 478000  |  64000  KM  ,378000,74000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE E PETROL  |  RS. 623000  |  38000  KM  ,478000,64000,2017,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE E PETROL  |  RS. 518000  |  45000  KM  ,623000,38000,2020,RADIANT RED,PETROL,MANUAL
AMAZE S PETROL  |  RS. 713000  |  38000  KM  ,518000,45000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE S PETROL  |  RS. 853000  |  58000  KM  ,713000,38000,2020,SILVER,PETROL,MANUAL
AMAZE S PETROL  |  RS. 678000  |  52000  KM  ,853000,58000,2018,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE S PETROL  |  RS. 428000  |  73000  KM  ,678000,52000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE S PETROL  |  RS. 478000  |  67000  KM  ,428000,73000,2015,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE S PETROL  |  RS. 628000  |  65000  KM  ,478000,67000,2016,RADIANT RED,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 648000  |  65000  KM  ,628000,65000,2017,LUNAR SILVER,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 748000  |  38000  KM  ,648000,65000,2017,SILVER,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 448000  |  75000  KM  ,748000,38000,2020,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 413000  |  51000  KM  ,448000,75000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 488000  |  67000  KM  ,413000,51000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE SPECIAL EDITION  |  RS. 668000  |  55000  KM  ,488000,67000,2016,RADIANT RED,PETROL,MANUAL
AMAZE V PETROL  |  RS. 669000  |  71000  KM  ,668000,55000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE V PETROL  |  RS. 778000  |  35000  KM  ,669000,71000,2017,SILVER,PETROL,MANUAL
AMAZE V PETROL  |  RS. 738000  |  52000  KM  ,778000,35000,2020,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE V PETROL  |  RS. 513000  |  75000  KM  ,738000,52000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE V PETROL  |  RS. 468000  |  78000  KM  ,513000,75000,2016,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE V PETROL  |  RS. 688000  |  58000  KM  ,468000,78000,2015,RADIANT RED,PETROL,MANUAL
AMAZE E DIESEL  |  RS. 748000  |  53000  KM  ,688000,58000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE E DIESEL  |  RS. 528000  |  76000  KM  ,748000,53000,2019,SILVER,DIESEL,MANUAL
AMAZE E DIESEL  |  RS. 807000  |  34000  KM  ,528000,76000,2016,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE E DIESEL  |  RS. 678000  |  70000  KM  ,807000,34000,2020,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE E DIESEL  |  RS. 478000  |  75000  KM  ,678000,70000,2017,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE E DIESEL  |  RS. 713000  |  59000  KM  ,478000,75000,2015,RADIANT RED,DIESEL,MANUAL
AMAZE S CVT PETROL  |  RS. 817000  |  75000  KM  ,713000,59000,2018,LUNAR SILVER,DIESEL,MANUAL
AMAZE S CVT PETROL  |  RS. 778000  |  52000  KM  ,817000,75000,2016,SILVER,PETROL,AMT
AMAZE S CVT PETROL  |  RS. 748000  |  36000  KM  ,778000,52000,2019,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE S CVT PETROL  |  RS. 723000  |  60000  KM  ,748000,36000,2020,MODERN STEEL METALLIC,PETROL,AMT
AMAZE S CVT PETROL  |  RS. 528000  |  78000  KM  ,723000,60000,2018,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE S CVT PETROL  |  RS. 706000  |  71000  KM  ,528000,78000,2015,RADIANT RED,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 548000  |  74000  KM  ,706000,71000,2017,LUNAR SILVER,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 828000  |  51000  KM  ,548000,74000,2015,SILVER,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 743000  |  57000  KM  ,828000,51000,2019,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 868000  |  24000  KM  ,743000,57000,2018,MODERN STEEL METALLIC,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 638000  |  68000  KM  ,868000,24000,2020,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE SPECIAL EDITION CVT  |  RS. 728000  |  66000  KM  ,638000,68000,2016,RADIANT RED,PETROL,AMT
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 748000  |  61000  KM  ,728000,66000,2017,LUNAR SILVER,PETROL,AMT
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 758000  |  78000  KM  ,748000,61000,2019,SILVER,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 878000  |  38000  KM  ,758000,78000,2018,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 738000  |  72000  KM  ,878000,38000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 847000  |  81000  KM  ,738000,72000,2017,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL  |  RS. 588000  |  85000  KM  ,847000,81000,2016,RADIANT RED,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 648000  |  64000  KM  ,588000,85000,2015,LUNAR SILVER,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 579000  |  75000  KM  ,648000,64000,2017,SILVER,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 728000  |  60000  KM  ,579000,75000,2016,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 848000  |  54000  KM  ,728000,60000,2018,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 526000  |  84000  KM  ,848000,54000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE VX PETROL  |  RS. 858000  |  36000  KM  ,526000,84000,2015,RADIANT RED,PETROL,MANUAL
AMAZE S DIESEL  |  RS. 888000  |  38000  KM  ,858000,36000,2020,LUNAR SILVER,PETROL,MANUAL
AMAZE S DIESEL  |  RS. 551000  |  72000  KM  ,888000,38000,2020,SILVER,DIESEL,MANUAL
AMAZE S DIESEL  |  RS. 648000  |  71000  KM  ,551000,72000,2015,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE S DIESEL  |  RS. 848000  |  50000  KM  ,648000,71000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE S DIESEL  |  RS. 818000  |  53000  KM  ,848000,50000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE S DIESEL  |  RS. 768000  |  66000  KM  ,818000,53000,2018,RADIANT RED,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 918000  |  34000  KM  ,768000,66000,2017,LUNAR SILVER,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 658000  |  68000  KM  ,918000,34000,2020,SILVER,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 597000  |  74000  KM  ,658000,68000,2017,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 878000  |  47000  KM  ,597000,74000,2015,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 788000  |  55000  KM  ,878000,47000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL  |  RS. 618000  |  70000  KM  ,788000,55000,2018,RADIANT RED,DIESEL,MANUAL
AMAZE V CVT PETROL  |  RS. 883000  |  46000  KM  ,618000,70000,2016,LUNAR SILVER,DIESEL,MANUAL
AMAZE V CVT PETROL  |  RS. 548000  |  64000  KM  ,883000,46000,2019,SILVER,PETROL,AMT
AMAZE V CVT PETROL  |  RS. 628000  |  62000  KM  ,548000,64000,2015,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE V CVT PETROL  |  RS. 688000  |  55000  KM  ,628000,62000,2018,MODERN STEEL METALLIC,PETROL,AMT
AMAZE V CVT PETROL  |  RS. 793000  |  50000  KM  ,688000,55000,2017,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE V CVT PETROL  |  RS. 928000  |  28000  KM  ,793000,50000,2019,RADIANT RED,PETROL,AMT
AMAZE V DIESEL  |  RS. 878000  |  52000  KM  ,928000,28000,2020,LUNAR SILVER,PETROL,AMT
AMAZE V DIESEL  |  RS. 918000  |  38000  KM  ,878000,52000,2019,SILVER,DIESEL,MANUAL
AMAZE V DIESEL  |  RS. 628000  |  71000  KM  ,918000,38000,2020,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE V DIESEL  |  RS. 678000  |  67000  KM  ,628000,71000,2015,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE V DIESEL  |  RS. 758000  |  53000  KM  ,678000,67000,2016,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE V DIESEL  |  RS. 848000  |  52000  KM  ,758000,53000,2017,RADIANT RED,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 778000  |  63000  KM  ,848000,52000,2018,LUNAR SILVER,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 878000  |  56000  KM  ,778000,63000,2017,SILVER,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 938000  |  44000  KM  ,878000,56000,2018,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 678000  |  76000  KM  ,938000,44000,2019,MODERN STEEL METALLIC,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 718000  |  71000  KM  ,678000,76000,2018,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL  |  RS. 958000  |  30000  KM  ,718000,71000,2016,RADIANT RED,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 978000  |  37000  KM  ,958000,30000,2020,LUNAR SILVER,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 958000  |  49000  KM  ,978000,37000,2020,SILVER,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 928000  |  61000  KM  ,958000,49000,2019,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 688000  |  71000  KM  ,928000,61000,2018,MODERN STEEL METALLIC,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 788000  |  63000  KM  ,688000,71000,2015,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE VX CVT PETROL  |  RS. 728000  |  64000  KM  ,788000,63000,2017,RADIANT RED,PETROL,AMT
AMAZE S CVT DIESEL  |  RS. 793000  |  55000  KM  ,728000,64000,2016,LUNAR SILVER,PETROL,AMT
AMAZE S CVT DIESEL  |  RS. 938000  |  52000  KM  ,793000,55000,2017,SILVER,DIESEL,AMT
AMAZE S CVT DIESEL  |  RS. 706000  |  74000  KM  ,938000,52000,2018,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE S CVT DIESEL  |  RS. 988000  |  35000  KM  ,706000,74000,2015,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE S CVT DIESEL  |  RS. 748000  |  68000  KM  ,988000,35000,2020,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE S CVT DIESEL  |  RS. 967000  |  46000  KM  ,748000,68000,2016,RADIANT RED,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 758000  |  68000  KM  ,967000,46000,2019,LUNAR SILVER,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 848000  |  65000  KM  ,758000,68000,2016,SILVER,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 918000  |  56000  KM  ,848000,65000,2017,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 718000  |  720000  KM  ,918000,56000,2018,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 1034000  |  26000  KM  ,718000,720000,2015,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL  |  RS. 948000  |  48000  KM  ,1034000,26000,2020,RADIANT RED,DIESEL,AMT
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 778000  |  74000  KM  ,948000,48000,2019,LUNAR SILVER,DIESEL,AMT
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 1059000  |  34000  KM  ,778000,74000,2016,SILVER,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 848000  |  68000  KM  ,1059000,34000,2020,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 928000  |  56000  KM  ,848000,68000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 1058000  |  40000  KM  ,928000,56000,2018,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL  |  RS. 958000  |  48000  KM  ,1058000,40000,2020,RADIANT RED,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 913000  |  57000  KM  ,958000,48000,2019,LUNAR SILVER,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 988000  |  38000  KM  ,913000,57000,2018,SILVER,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 838000  |  63000  KM  ,988000,38000,2020,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 938000  |  52000  KM  ,838000,63000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 748000  |  67000  KM  ,938000,52000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE VX DIESEL  |  RS. 718000  |  72000  KM  ,748000,67000,2016,RADIANT RED,DIESEL,MANUAL
AMAZE V CVT DIESEL  |  RS. 1038000  |  35000  KM  ,718000,72000,2015,LUNAR SILVER,DIESEL,MANUAL
AMAZE V CVT DIESEL  |  RS. 1048000  |  28000  KM  ,1038000,35000,2020,SILVER,DIESEL,AMT
AMAZE V CVT DIESEL  |  RS. 923000  |  55000  KM  ,1048000,28000,2020,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE V CVT DIESEL  |  RS. 948000  |  49000  KM  ,923000,55000,2018,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE V CVT DIESEL  |  RS. 723000  |  67000  KM  ,948000,49000,2019,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE V CVT DIESEL  |  RS. 838000  |  57000  KM  ,723000,67000,2015,RADIANT RED,DIESEL,AMT
AMAZE V CVT DIESEL  |  RS. 768000  |  62000  KM  ,838000,57000,2017,LUNAR SILVER,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL  |  RS. 1088000  |  34000  KM  ,768000,62000,2016,SILVER,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL  |  RS. 948000  |  60000  KM  ,1088000,34000,2020,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL  |  RS. 1053000  |  48000  KM  ,948000,60000,2018,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL  |  RS. 778000  |  68000  KM  ,1053000,48000,2019,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL  |  RS. 728000  |  70000  KM  ,778000,68000,2017,RADIANT RED,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 778000  |  61000  KM  ,728000,70000,2016,LUNAR SILVER,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 928000  |  27000  KM  ,778000,61000,2016,SILVER,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 848000  |  70000  KM  ,928000,27000,2019,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 728000  |  77000  KM  ,848000,70000,2017,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 1048000  |  43000  KM  ,728000,77000,2015,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE VX CVT DIESEL  |  RS. 878000  |  55000  KM  ,1048000,43000,2020,RADIANT RED,DIESEL,AMT
CIVIC V  |  RS. 1848000  |  52000  KM  ,878000,55000,2018,LUNAR SILVER,DIESEL,AMT
CIVIC V  |  RS. 1778000  |  65000  KM  ,1848000,52000,2018,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC V  |  RS. 1728000  |  68000  KM  ,1778000,65000,2017,MODERN STEEL METALLIC,PETROL,AMT
CIVIC V  |  RS. 2018000  |  54000  KM  ,1728000,68000,2016,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC V  |  RS. 2128000  |  34000  KM  ,2018000,54000,2019,RADIANT RED METALLIC,PETROL,AMT
CIVIC VX   |  RS. 1977000  |  75000  KM  ,2128000,34000,2018,LUNAR SILVER,PETROL,AMT
CIVIC VX   |  RS. 2148000  |  54000  KM  ,1977000,75000,2016,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC VX   |  RS. 1966000  |  78000  KM  ,2148000,54000,2018,MODERN STEEL METALLIC,PETROL,AMT
CIVIC VX   |  RS. 2318000  |  51000  KM  ,1966000,78000,2015,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC VX   |  RS. 2148000  |  54000  KM  ,2318000,51000,2019,RADIANT RED METALLIC,PETROL,AMT
CIVIC VX   |  RS. 2028000  |  71000  KM  ,2148000,54000,2018,LUNAR SILVER,PETROL,AMT
CIVIC VX DIESEL  |  RS. 2418000  |  64000  KM  ,2028000,71000,2017,PLATINUM WHITE PEARL,DIESEL,MANUAL
CIVIC VX DIESEL  |  RS. 2547000  |  36000  KM  ,2418000,64000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL  |  RS. 2516000  |  49000  KM  ,2547000,36000,2020,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL  |  RS. 2577000  |  24000  KM  ,2516000,49000,2019,RADIANT RED METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL  |  RS. 2458000  |  54000  KM  ,2577000,24000,2020,LUNAR SILVER,DIESEL,MANUAL
CIVIC ZX  |  RS. 2478000  |  44000  KM  ,2458000,54000,2018,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC ZX  |  RS. 2548000  |  41000  KM  ,2478000,44000,2018,MODERN STEEL METALLIC,PETROL,AMT
CIVIC ZX  |  RS. 2428000  |  50000  KM  ,2548000,41000,2019,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC ZX  |  RS. 2588000  |  37000  KM  ,2428000,50000,2017,RADIANT RED METALLIC,PETROL,AMT
CIVIC ZX DIESEL  |  RS. 2418000  |  68000  KM  ,2588000,37000,2020,LUNAR SILVER,PETROL,AMT
CIVIC ZX DIESEL  |  RS. 2548000  |  64000  KM  ,2418000,68000,2016,PLATINUM WHITE PEARL,DIESEL,MANUAL
CIVIC ZX DIESEL  |  RS. 2678000  |  45000  KM  ,2548000,64000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
CIVIC ZX DIESEL  |  RS. 2726000  |  38000  KM  ,2678000,45000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CIVIC ZX DIESEL  |  RS. 2578000  |  61000  KM  ,2726000,38000,2020,RADIANT RED METALLIC,DIESEL,MANUAL
WR-V SV  |  RS. 618000  |  71000  KM  ,2578000,61000,2018,LUNAR SILVER,DIESEL,MANUAL
WR-V SV  |  RS. 858000  |  48000  KM  ,618000,71000,2017,REDIANT RED METALLIC,PETROL,MANUAL
WR-V SV  |  RS. 878000  |  41000  KM  ,858000,48000,2019,WHITE ORCHID PEARL,PETROL,MANUAL
WR-V SV  |  RS. 618000  |  71000  KM  ,878000,41000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
WR-V SV  |  RS. 728000  |  59000  KM  ,618000,71000,2017,GOLDEN BROWN METALLIC,PETROL,MANUAL
WR-V SV  |  RS. 578000  |  78000  KM  ,728000,59000,2018,PREMIUM AMBER,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL  |  RS. 828000  |  63000  KM  ,578000,78000,2016,LUNAR SILVER,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL  |  RS. 818000  |  72000  KM  ,828000,63000,2017,REDIANT RED METALLIC,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL  |  RS. 1018000  |  42000  KM  ,818000,72000,2017,WHITE ORCHID PEARL,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL  |  RS. 928000  |  61000  KM  ,1018000,42000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL  |  RS. 778000  |  73000  KM  ,928000,61000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL  |  RS. 848000  |  67000  KM  ,778000,73000,2016,PREMIUM AMBER,PETROL,MANUAL
WR-V VX  |  RS. 748000  |  77000  KM  ,848000,67000,2018,LUNAR SILVER,PETROL,MANUAL
WR-V VX  |  RS. 939000  |  52000  KM  ,748000,77000,2016,REDIANT RED METALLIC,PETROL,MANUAL
WR-V VX  |  RS. 928000  |  63000  KM  ,939000,52000,2019,WHITE ORCHID PEARL,PETROL,MANUAL
WR-V VX  |  RS. 788000  |  58000  KM  ,928000,63000,2018,MODERN STEEL METALLIC,PETROL,MANUAL
WR-V VX  |  RS. 923000  |  68000  KM  ,788000,58000,2017,GOLDEN BROWN METALLIC,PETROL,MANUAL
WR-V VX  |  RS. 1055000  |  48000  KM  ,923000,68000,2018,PREMIUM AMBER,PETROL,MANUAL
WR-V SV DIESEL  |  RS. 773000  |  68000  KM  ,1055000,48000,2020,LUNAR SILVER,PETROL,MANUAL
WR-V SV DIESEL  |  RS. 948000  |  55000  KM  ,773000,68000,2017,REDIANT RED METALLIC,DIESEL,MANUAL
WR-V SV DIESEL  |  RS. 1068000  |  47000  KM  ,948000,55000,2019,WHITE ORCHID PEARL,DIESEL,MANUAL
WR-V SV DIESEL  |  RS. 728000  |  77000  KM  ,1068000,47000,2020,MODERN STEEL METALLIC,DIESEL,MANUAL
WR-V SV DIESEL  |  RS. 753000  |  70000  KM  ,728000,77000,2015,GOLDEN BROWN METALLIC,DIESEL,MANUAL
WR-V SV DIESEL  |  RS. 838000  |  54000  KM  ,753000,70000,2016,PREMIUM AMBER,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL  |  RS. 1018000  |  68000  KM  ,838000,54000,2018,LUNAR SILVER,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL  |  RS. 1128000  |  57000  KM  ,1018000,68000,2017,REDIANT RED METALLIC,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL  |  RS. 918000  |  81000  KM  ,1128000,57000,2018,WHITE ORCHID PEARL,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL  |  RS. 1278000  |  49000  KM  ,918000,81000,2015,MODERN STEEL METALLIC,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL  |  RS. 1253000  |  40000  KM  ,1278000,49000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL  |  RS. 948000  |  74000  KM  ,1253000,40000,2020,PREMIUM AMBER,DIESEL,MANUAL
WR-V VX DIESEL  |  RS. 948000  |  67000  KM  ,948000,74000,2016,LUNAR SILVER,DIESEL,MANUAL
WR-V VX DIESEL  |  RS. 1128000  |  49000  KM  ,948000,67000,2017,REDIANT RED METALLIC,DIESEL,MANUAL
WR-V VX DIESEL  |  RS. 1018000  |  57000  KM  ,1128000,49000,2019,WHITE ORCHID PEARL,DIESEL,MANUAL
WR-V VX DIESEL  |  RS. 928000  |  72000  KM  ,1018000,57000,2018,MODERN STEEL METALLIC,DIESEL,MANUAL
WR-V VX DIESEL  |  RS. 1178000  |  28000  KM  ,928000,72000,2016,GOLDEN BROWN METALLIC,DIESEL,MANUAL
WR-V VX DIESEL  |  RS. 818000  |  76000  KM  ,1178000,28000,2020,PREMIUM AMBER,DIESEL,MANUAL
