MODEL,PRICE,KM,MFG YEAR,FUEL TYPE,BHP,VEHICLE TYPE,CC,DOORS,CYLINDER,GEAR,WEIGHT,ABS,AIRBAGS,CD PLAYER,CENTRAL LOCK,POWER WINDOW,POWER STEERING,MISTLAMPS,BACK SEAT DIVIDER,ALLOY WHEELS,MFG MONTH
377,1145000,71000,2015,1,120,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JUNE
377,1425000,48000,2019,1,120,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,MAY
377,1485000,25000,2020,1,120,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JULY
377,1175000,63000,2016,1,120,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,OCTOBER
377,1345000,49000,2018,1,120,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,DECEMBER
350,1245000,58000,2017,1,120,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,MARCH
350,1510000,21000,2020,1,120,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,OCTOBER
350,1375000,61000,2019,1,120,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
350,1345000,64000,2018,1,120,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,AUGUST
350,1185000,72000,2015,1,120,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,APRIL
192,1425000,53000,2019,1,104,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,SEPTEMBER
192,1315000,67000,2017,1,104,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,DECEMBER
192,1555000,21000,2020,1,104,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,OCTOBER
192,1275000,69000,2016,1,104,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JULY
192,1410000,56000,2018,1,104,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
351,1485000,54000,2019,1,120,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,JUNE
351,1595000,23000,2020,1,120,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,SEPTEMBER
351,1465000,64000,2017,1,120,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,0VEMBER
351,1350000,57000,2018,1,120,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,APRIL
351,1285000,71000,2016,1,120,0,1498,5,4,7,1300,1,1,1,1,1,1,1,1,1,SEPTEMBER
193,1425000,62000,2017,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,AUGUST
193,1575000,49000,2019,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JANUARY
193,1375000,68000,2016,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,0VEMBER
193,1325000,72000,2015,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,DECEMBER
193,1625000,26000,2020,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JULY
279,425000,65000,2016,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,0VEMBER
279,535000,42000,2019,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,DECEMBER
279,475000,61000,2017,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,FEBRUARY
279,375000,71000,2015,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,JUNE
279,515000,45000,2018,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,OCTOBER
279,620000,22000,2020,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,SEPTEMBER
280,475000,65000,2016,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,JULY
280,675000,49000,2019,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,JANUARY
280,425000,70000,2015,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,DECEMBER
280,710000,35000,2020,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,JUNE
280,625000,62000,2017,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,APRIL
280,650000,55000,2018,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,1,0,AUGUST
122,485000,64000,2016,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,DECEMBER
122,665000,52000,2018,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,JUNE
122,445000,72000,2015,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,AUGUST
122,710000,48000,2019,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,APRIL
122,745000,35000,2020,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,OCTOBER
122,645000,62000,2017,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,JUNE
281,465000,75000,2015,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,FEBRUARY
281,665000,68000,2017,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
281,510000,72000,2016,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,0VEMBER
281,735000,49000,2019,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,MAY
281,775000,32000,2020,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,MARCH
281,685000,55000,2018,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
282,475000,74000,2015,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,0VEMBER
282,710000,56000,2018,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,DECEMBER
282,745000,50000,2019,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,JUNE
282,675000,67000,2017,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,FEBRUARY
282,800000,31000,2020,1,88,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,OCTOBER
282,525000,73000,2016,1,88,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,JUNE
178,700000,68000,2017,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,SEPTEMBER
178,525000,75000,2015,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,JANUARY
178,615000,72000,2016,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,MARCH
178,720000,57000,2018,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,0VEMBER
178,845000,33000,2020,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,MARCH
178,775000,49000,2019,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,AUGUST
65,635000,65000,2016,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,DECEMBER
65,725000,63000,2017,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,APRIL
65,545000,71000,2015,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,MAY
65,865000,21000,2020,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,FEBRUARY
65,740000,54000,2018,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,SEPTEMBER
65,825000,48000,2019,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,JUNE
23,845000,58000,2019,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,OCTOBER
23,735000,69000,2017,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,JULY
23,875000,35000,2020,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,MAY
23,755000,69000,2018,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,0VEMBER
23,645000,78000,2016,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
23,585000,82000,2015,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,MAY
239,855000,33000,2020,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,APRIL
239,845000,51000,2019,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,MARCH
239,523000,81000,2015,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
239,576000,72000,2016,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,MARCH
239,645000,61000,2017,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,AUGUST
239,725000,57000,2018,1,89,1,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
283,815000,50000,2018,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,FEBRUARY
283,765000,63000,2017,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,JUNE
283,885000,35000,2020,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,APRIL
283,845000,47000,2019,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,AUGUST
283,645000,68000,2016,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,DECEMBER
283,548000,69000,2015,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,JUNE
33,915000,31000,2020,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,AUGUST
33,785000,52000,2018,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,APRIL
33,615000,67000,2016,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,OCTOBER
33,655000,65000,2017,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,JUNE
33,875000,44000,2019,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,FEBRUARY
33,594000,72000,2015,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,DECEMBER
179,790000,47000,2018,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,0VEMBER
179,925000,25000,2020,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,MAY
179,880000,43000,2019,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,MARCH
179,685000,52000,2017,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,JANUARY
179,625000,59000,2016,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,0VEMBER
179,545000,61000,2015,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,0,0,0,SEPTEMBER
284,915000,35000,2020,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JUNE
284,875000,49000,2019,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,OCTOBER
284,675000,64000,2016,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JULY
284,625000,68000,2015,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,MAY
284,745000,50000,2017,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,0VEMBER
284,845000,49000,2018,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
6,955000,27000,2020,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,MAY
6,775000,61000,2017,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,APRIL
6,715000,68000,2016,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,MARCH
6,935000,41000,2019,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
6,875000,53000,2018,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,MARCH
6,675000,73000,2015,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,AUGUST
160,785000,60000,2017,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
160,725000,61000,2016,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
160,975000,34000,2020,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,JUNE
160,685000,68000,2015,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,APRIL
160,925000,58000,2018,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,AUGUST
160,955000,47000,2019,1,89,0,1199,4,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
180,790000,52000,2017,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,MARCH
180,985000,32000,2020,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,AUGUST
180,690000,71000,2015,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,JANUARY
180,935000,49000,2018,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,FEBRUARY
180,745000,65000,2016,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,OCTOBER
180,965000,43000,2019,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,DECEMBER
14,1030000,23000,2020,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,FEBRUARY
14,945000,45000,2019,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,MAY
14,845000,62000,2017,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,DECEMBER
14,755000,65000,2016,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,SEPTEMBER
14,715000,69000,2015,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,JUNE
14,915000,53000,2018,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,0,0,0,MAY
24,1050000,37000,2020,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JULY
24,955000,45000,2019,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,OCTOBER
24,845000,65000,2017,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
24,1056000,32000,2020,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,MARCH
24,775000,71000,2016,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,OCTOBER
24,925000,53000,2018,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
240,985000,35000,2020,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,AUGUST
240,835000,60000,2017,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,APRIL
240,715000,69000,2015,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JULY
240,745000,64000,2016,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
240,935000,49000,2019,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
240,910000,55000,2018,1,99,1,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JUNE
181,765000,59000,2016,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,APRIL
181,720000,64000,2015,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,AUGUST
181,835000,54000,2017,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
181,1035000,32000,2020,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JUNE
181,945000,47000,2019,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,AUGUST
181,920000,52000,2018,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,APRIL
181,1045000,25000,2020,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,OCTOBER
7,725000,67000,2016,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JUNE
7,1085000,31000,2020,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
7,775000,65000,2017,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
7,1050000,45000,2019,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,0VEMBER
7,945000,57000,2018,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,MAY
161,775000,58000,2016,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,MARCH
161,725000,74000,2015,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
161,845000,67000,2017,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,0VEMBER
161,925000,24000,2019,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
161,1045000,41000,2020,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,JUNE
161,875000,52000,2018,1,79,0,1498,4,4,5,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
457,2125000,31000,2020,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,OCTOBER
457,1775000,62000,2017,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,JUNE
457,2015000,51000,2019,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,SEPTEMBER
457,1845000,49000,2018,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
457,1725000,65000,2016,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,MARCH
408,2285000,33000,2020,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,AUGUST
408,2025000,68000,2017,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,MARCH
408,1975000,73000,2016,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,AUGUST
408,2145000,52000,2018,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
408,2215000,48000,2019,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,APRIL
206,2115000,75000,2015,1,118,1,1597,4,4,6,1300,1,1,1,1,1,1,1,1,1,MAY
241,2375000,65000,2016,1,118,1,1597,4,4,6,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
241,2455000,51000,2018,1,118,1,1597,4,4,6,1300,1,1,1,1,1,1,1,1,1,SEPTEMBER
241,2415000,61000,2017,1,118,1,1597,4,4,6,1300,1,1,1,1,1,1,1,1,1,JUNE
241,2575000,21000,2020,1,118,1,1597,4,4,6,1300,1,1,1,1,1,1,1,1,1,OCTOBER
430,2545000,46000,2019,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,JULY
430,2585000,34000,2020,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,MAY
430,2425000,47000,2017,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,0VEMBER
430,2545000,38000,2019,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
430,2475000,41000,2018,1,140,0,1799,4,4,5,1300,1,1,1,1,1,1,1,1,1,MAY
242,2723000,35000,2020,1,118,1,1597,4,4,6,1300,1,1,1,1,1,1,1,1,1,APRIL
242,2575000,58000,2018,1,118,1,1597,4,4,6,1300,1,1,1,1,1,1,1,1,1,MARCH
242,2545000,61000,2017,1,118,1,1597,4,4,6,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
242,2415000,65000,2016,1,118,1,1597,4,4,6,1300,1,1,1,1,1,1,1,1,1,MARCH
242,2675000,42000,2019,1,118,1,1597,4,4,6,1300,1,1,1,1,1,1,1,1,1,OCTOBER
458,575000,76000,2016,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
458,845000,57000,2019,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,MARCH
458,615000,68000,2017,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,OCTOBER
458,725000,56000,2018,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
458,875000,38000,2020,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,AUGUST
458,855000,45000,2019,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,APRIL
34,775000,71000,2016,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,JULY
34,845000,64000,2018,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
34,825000,61000,2017,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
34,925000,58000,2019,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,JUNE
34,1015000,39000,2020,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,APRIL
34,815000,69000,2017,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,DECEMBER
459,920000,65000,2018,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,JUNE
459,1052000,45000,2020,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
459,935000,49000,2019,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,OCTOBER
459,745000,74000,2016,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,JUNE
459,785000,55000,2017,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,SEPTEMBER
459,925000,60000,2018,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,1,1,1,JANUARY
285,1065000,44000,2020,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,MARCH
285,945000,52000,2019,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,0VEMBER
285,790000,65000,2017,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,MARCH
285,750000,68000,2016,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,AUGUST
285,835000,51000,2018,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,DECEMBER
285,725000,74000,2015,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,APRIL
35,1250000,38000,2020,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,MAY
35,945000,71000,2016,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,FEBRUARY
35,1125000,54000,2018,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,SEPTEMBER
35,1015000,65000,2017,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JUNE
35,1275000,46000,2019,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,OCTOBER
35,915000,78000,2015,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JULY
286,1175000,25000,2020,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,MAY
286,815000,73000,2015,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,0VEMBER
286,945000,64000,2017,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,JANUARY
286,925000,69000,2016,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,MAY
286,1015000,54000,2018,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,APRIL
286,1125000,47000,2019,1,98,1,1498,5,4,6,1300,1,1,1,1,1,1,1,1,1,MARCH
472,845000,38000,2020,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,0,0,1,FEBRUARY
472,575000,67000,2017,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,0,0,1,MARCH
472,755000,58000,2019,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,0,0,1,AUGUST
472,635000,65000,2018,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,0,0,1,JANUARY
472,515000,69000,2016,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,0,0,1,FEBRUARY
460,655000,56000,2018,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,0,0,1,JUNE
460,545000,68000,2016,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,0,0,1,APRIL
460,615000,64000,2017,1,89,1,1199,5,4,5,1300,1,1,1,1,1,1,0,0,1,AUGUST
